name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
"Adreus, Keeper of Armageddon",2 Level 5 monstersOnce per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.,MONSTER,[Fiend／Xyz／Effect],DARK,2600,1700,12.1367,,9846,59154,BP01-EN030R,BP01-EN030,BATTLE PACK EPIC DAWN,2012-05-28,R Rare,5,"Adreus, Keeper of Armageddon",False
Adularia of the June Moon,"If you control a face-up card in your Spell & Trap Zone, you can Special Summon this card (from your hand). You can only Special Summon ""Adularia of the June Moon"" once per turn this way. Gains 600 ATK/DEF for each face-up Spell/Trap on the field. You can send 2 face-up cards from your Spell & Trap Zone to the GY; send 1 Level 4 or lower monster from your Deck to the GY. You can only use this effect of ""Adularia of the June Moon"" once per turn.",MONSTER,[Spellcaster／Effect],WATER,1000,1000,0.17,,17915,493952,CYAC-EN095SR,CYAC-EN095,CYBERSTORM ACCESS,2023-05-05,SR Super Rare,5,Adularia of the June Moon,False
Advanced Crystal Beast Amber Mammoth,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn, when your opponent activates a card or effect that targets your ""Advanced Crystal Beast"" card(s) or ""Advanced Dark"" (Quick Effect): You can negate the activation. Once per turn, when your ""Advanced Crystal Beast"" monster is targeted for an attack: You can negate that attack. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Beast／Effect],EARTH,1700,1600,0.3,,17632,453538,BLCR-EN014SE,BLCR-EN014,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,4,Advanced Crystal Beast Amber Mammoth,False
Advanced Crystal Beast Amethyst Cat,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Your ""Advanced Crystal Beast"" monsters can attack directly, but when they do so using this effect, the battle damage inflicted to your opponent is halved. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Beast／Effect],EARTH,1200,400,0.29,,17629,453535,BLCR-EN011SE,BLCR-EN011,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,3,Advanced Crystal Beast Amethyst Cat,False
Advanced Crystal Beast Cobalt Eagle,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. You can send this card from your hand or field to the GY; add 1 ""Advanced Dark"" from your Deck to your hand. Once per turn: You can target 1 ""Advanced Crystal Beast"" card you control; return it to the hand or place it on top of the Deck. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Winged Beast／Effect],WIND,1400,800,0.36,,17633,453540,BLCR-EN015SE,BLCR-EN015,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,4,Advanced Crystal Beast Cobalt Eagle,False
Advanced Crystal Beast Emerald Tortoise,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. Once per turn (Quick Effect): You can target 1 face-up monster on the field; change its battle position. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Aqua／Effect],WATER,600,2000,0.31,,17630,453537,BLCR-EN012SE,BLCR-EN012,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,3,Advanced Crystal Beast Emerald Tortoise,False
Advanced Crystal Beast Ruby Carbuncle,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY. While this card is treated as a Continuous Spell: You can Special Summon this card, then you can Special Summon as many ""Advanced Crystal Beast"" Monster Cards as possible from your Spell & Trap Zones. You can only use this effect of ""Advanced Crystal Beast Ruby Carbuncle"" once per turn.",MONSTER,[Fairy／Effect],LIGHT,300,300,0.31,,17628,453534,BLCR-EN010SE,BLCR-EN010,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,3,Advanced Crystal Beast Ruby Carbuncle,False
Advanced Crystal Beast Sapphire Pegasus,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. If this card is Summoned: You can place 1 of your ""Advanced Crystal Beast"" monsters that is banished, or in your hand, Deck, or GY, face-up in your Spell & Trap Zone as a Continuous Spell. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Beast／Effect],WIND,1800,1200,0.39,,17634,453539,BLCR-EN016SE,BLCR-EN016,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,4,Advanced Crystal Beast Sapphire Pegasus,False
Advanced Crystal Beast Topaz Tiger,"If ""Advanced Dark"" is not in a Field Zone, send this monster to the GY. All ""Advanced Crystal Beast"" monsters you control gain 400 ATK/DEF, also monsters your opponent controls lose 400 ATK/DEF. If this face-up card is destroyed in a Monster Zone, you can place it face-up in your Spell & Trap Zone as a Continuous Spell, instead of sending it to the GY.",MONSTER,[Beast／Effect],EARTH,1600,1000,0.33,,17631,453536,BLCR-EN013SE,BLCR-EN013,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,4,Advanced Crystal Beast Topaz Tiger,False
Aerial Eater,"2 Fiend monsters with the same AttributeIf this card is Fusion Summoned: You can send 1 Fiend monster from your Deck to the GY. If this card is in your GY: You can banish 2 Level 6 or higher Fiend monsters with the same Attribute as each other from your GY, except ""Aerial Eater""; Special Summon this card. You can only use each effect of ""Aerial Eater"" once per turn.",MONSTER,[Fiend／Fusion／Effect],WIND,2100,2600,0.19,,20427,651633,MP25-EN234UR,INFO-EN089,2025 MEGA-PACK TIN,2024-07-19,C Common,6,Aerial Eater,False
Aeropixthree,"Once per turn (Quick Effect): You can target 1 face-up monster your opponent controls in this card's column; move this card you control to another of your Main Monster Zones, and if you do, move that opponent's monster to their Main Monster Zone in this card's column, then place 1 Burnup Counter on it. (Monsters with Burnup Counters lose 200 ATK/DEF for each Burnup Counter on it.)",MONSTER,[Fairy／Tuner／Effect],WIND,200,200,0.05,,16220,285194,MP22-EN138C,DAMA-EN031,2022 TIN OF THE PHARAOH'S GODS,2021-08-13,C Common,1,Aeropixthree,False
"Aether, the Empowering Dragon","When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn.",MONSTER,[Dragon／Effect],LIGHT,2300,1600,3.83,,11136,217865,DEM3-EN008C,DEM3-EN008,DEMO DECK 2016 (UK),2014-07-11,C Common,6,"Aether, the Empowering Dragon",False
"Aether, the Evil Empowering Dragon",When this card is Normal or Special Summoned: You can target 1 monster on the field; banish it.,MONSTER,[Dragon／Pendulum／Effect],DARK,2300,1600,0.19,,11873,122296,CT13-EN011SR,CT13-EN011,2016 MEGA-TINS,2016-09-02,SR Super Rare,6,"Aether, the Evil Empowering Dragon",False
Agido,"If this card is destroyed by battle and sent to the GY: Roll a six-sided die, then you can Special Summon 1 Fairy monster from your GY whose Level is equal to the result. (If the result is 6, you can Special Summon a Level 6 or higher monster.)",MONSTER,[Fairy／Effect],EARTH,1500,1300,0.208,,5366,600098,SBC2-ENF03C,DCR-EN080,DARK CRISIS (LC01 25th Anniversary Edition),2007-12-12,C Common,4,Agido,False
Agido the Ancient Sentinel,"If a card(s) is sent from the hand or Deck to your opponent's GY (except during the Damage Step): You can Special Summon this card from your hand, then you can Special Summon 1 Level 4 EARTH Fairy monster from your GY, except ""Agido the Ancient Sentinel"". If this card is sent from the hand or Deck to the GY: You can activate this effect; each player sends the top 5 cards of their Deck to the GY (or their entire Deck, if less than 5), then, if ""Exchange of the Spirit"" is in your GY, you can send 5 more cards from the top of either player's Deck to the GY. You can only use each effect of ""Agido the Ancient Sentinel"" once per turn.",MONSTER,[Fairy／Effect],EARTH,1500,1300,0.39,,17606,451017,MAMA-EN028UR,MAMA-EN028,MAGNIFICENT MAVENS,2022-11-04,UR Ultra Rare,4,Agido the Ancient Sentinel,False
Agnimal Candle,"If this card is added to your hand, except by drawing it: You can Special Summon this card. You can only use this effect of ""Agnimal Candle"" once per turn. Once per Chain, up to thrice per turn, if a monster is sent to your GY (except during the Damage Step): You can increase or decrease this card's Level by 1.",MONSTER,[Pyro／Tuner／Effect],FIRE,1700,0,0.095,,18814,579692,MP24-EN218UR,DUNE-EN027,25TH ANNIVERSARY TIN: DUELING MIRRORS,2023-07-28,C Common,4,Agnimal Candle,False
"Ahrima, the Wicked Warden","You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn.",MONSTER,[Fiend／Effect],DARK,1700,0,0.28,,13684,241914,EGS1-EN016C,EGS1-EN016,EGYPTIAN GOD DECK: SLIFER THE SKY DRAGON,2018-04-20,C Common,4,"Ahrima, the Wicked Warden",False
Aileron,"(This card is always treated as a ""Sky Striker"" card.)A ""Sky Striker Ace"" monster equipped with this card gains 400 ATK. You can only use 1 of the following effects of ""Aileron"" per turn, and only once that turn. During the Main Phase (Quick Effect): You can target 1 ""Sky Striker Ace"" monster you control; equip this card from your hand or field to it. If this card on the field is destroyed: You can send 1 ""Sky Striker"" Spell from your Deck to the GY.",MONSTER,[Machine／Effect],WIND,0,0,0.14,,17553,450980,MAMA-EN002UR,MAMA-EN002,MAGNIFICENT MAVENS,2022-11-04,UR Ultra Rare,1,Aileron,False
Air Armor Ninja,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1.",MONSTER,[Warrior／Effect],WIND,1400,1400,0.2233,,9888,77490,SP13-EN016C,SP13-EN016,STAR PACK 2013,2013-03-01,C Common,4,Air Armor Ninja,False
Airknight Parshath,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. If this card inflicts battle damage to your opponent: Draw 1 card.",MONSTER,[Fairy／Effect],LIGHT,1900,1400,1.7921,,5023,600099,SBC2-ENF08C,BP01-EN124,BATTLE PACK 2 WAR OF THE GIANTS,2009-07-28,C Common,5,Airknight Parshath,False
Airorca,"Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua monster from your hand, then target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase.",MONSTER,[Sea Serpent／Effect],WIND,1400,300,0.35,,9638,512271,SBC1-ENC02C,BP03-EN087,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,C Common,3,Airorca,False
Aitsu,"He seems to be very unreliable, but he might have incredible potential.",MONSTER,[Fairy／Normal],FIRE,100,100,0.225,,5642,23898,DR1-EN111C,DR1-EN111,DARK REVELATION Volume 1,2003-10-10,C Common,5,Aitsu,False
"Aiwass, the Magistus Spell Spirit","1 ""Magistus"" monster + 1 Spellcaster monsterWhile this card is an Equip Card, the equipped monster gains 1000 ATK/DEF. During the Main Phase (Quick Effect): You can target 1 other face-up monster on the field; equip this card you control to it. If this card was equipped to an opponent's monster by this effect, take control of the equipped monster, also it cannot activate its effects. You can only use this effect of ""Aiwass, the Magistus Spell Spirit"" once per turn.",MONSTER,[Fiend／Fusion／Effect],WIND,2000,2800,0.31,,15616,228630,GEIM-EN005SR,GEIM-EN005,GENESIS IMPACT,2020-12-03,SR Super Rare,8,"Aiwass, the Magistus Spell Spirit",False
Aiza the Dragoness of Deranged Devotion,"If this card is Special Summoned: You can place 1 Deranged Counter on 1 face-up monster your opponent controls, and it cannot be used as material for a Fusion, Synchro, Xyz, or Link Summon while it has that counter. At the start of the Damage Step, if this card battles an opponent's monster with a Deranged Counter: You can destroy that opponent's monster, and if you do, both players take damage equal to its original ATK, also destroy this card at the end of this Battle Phase. You can only use each effect of ""Aiza the Dragoness of Deranged Devotion"" once per turn.",MONSTER,[Dragon／Effect],FIRE,1500,0,0.1,,20064,651769,MP25-EN370C,LEDE-EN088,2025 MEGA-PACK TIN,2024-04-26,C Common,4,Aiza the Dragoness of Deranged Devotion,False
"Akz, the Pumer","This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster to activate 1 of the following effects:●Double this card's ATK until the End Phase.●This card can attack your opponent directly this turn.",MONSTER,[Beast-Warrior／Effect],EARTH,1500,1000,0.16,,9039,35032,TSHD-EN085R,TSHD-EN085,THE SHINING DARKNESS,2010-05-11,R Rare,6,"Akz, the Pumer",False
Al-Lumi'raj,All monsters on the field lose ATK and DEF equal to their own Level/Rank x 300.,MONSTER,[Wyrm／Tuner／Effect],WIND,1600,1000,0.105,,12145,122501,MP16-EN204C,BOSH-EN037,2016 MEGA-TINS MEGA PACK,2016-01-15,C Common,3,Al-Lumi'raj,False
Alba System Dogmatikalamity,"""Fallen of Albaz"" + 6 monsters in your GY with different namesMust first be Fusion Summoned. Can attack all your opponent's monsters, once each. Cannot declare an attack unless you send 1 card from your Extra Deck to the GY. Once per turn, if you control this Fusion Summoned card and have 6 or more Fusion Monsters in your GY with different names that mention ""Fallen of Albaz"" as material: You can send all cards in each player's Extra Deck to the GY.",MONSTER,[Dragon／Fusion／Effect],DARK,4500,2500,13.535,,20469,635894,BLMM-EN011SE,BLMM-EN011,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,SE Secret Rare,8,Alba System Dogmatikalamity,False
Alba-Lenatus the Abyss Dragon,"1 ""Fallen of Albaz"" + 1+ Dragon monstersCannot be used as Fusion Material. Must be either Fusion Summoned, or Special Summoned by sending the above cards from any Monster Zones to the GY. This card can attack monsters a number of times each Battle Phase, up to the number of materials used for it. Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: You can add 1 ""Polymerization"" Normal Spell or ""Fusion"" Normal Spell from your Deck to your hand.",MONSTER,[Dragon／Fusion／Effect],DARK,2500,2500,20.4867,,17146,514597,MP23-EN080UR,DIFO-EN035,DIMENSION FORCE,2022-05-20,SE Secret Rare,8,Alba-Lenatus the Abyss Dragon,False
